Created with UCDetector 2.0.0	2022-10-10 09:18:43	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
lungsimulator.components.Archetype.parameters(Archetype.java:7)	Change visibility of Field "Archetype.parameters" to private	Archetype.parameters	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.components.SimulatorParams.<init>(SimulatorParams.java:3)	Class "SimulatorParams" has 0 references	SimulatorParams	org.ucdetector.analyzeMarkerReference	
lungsimulator.components.Formula.<init>(Formula.java:5)	Change visibility of Class "Formula" to default - May cause compile errors!	Formula	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.components.Formula.Formula(Formula.java:12)	Constructor "Formula.Formula(String,boolean,boolean,String,List<String>)" has 0 references	Formula.Formula(String,boolean,boolean,String,List<String>)	org.ucdetector.analyzeMarkerReference	
lungsimulator.components.Formula.id(Formula.java:6)	Change visibility of Field "Formula.id" to private	Formula.id	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.components.Formula.isTimeDependent(Formula.java:7)	Change visibility of Field "Formula.isTimeDependent" to private	Formula.isTimeDependent	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.components.Formula.isExternal(Formula.java:8)	Change visibility of Field "Formula.isExternal" to private	Formula.isExternal	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.components.Formula.formula(Formula.java:9)	Change visibility of Field "Formula.formula" to private	Formula.formula	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.components.Formula.variables(Formula.java:10)	Change visibility of Field "Formula.variables" to private	Formula.variables	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.components.Patient.Patient(Patient.java:12)	Constructor "Patient.Patient(int,List<Element>,List<Formula>)" has 0 references	Patient.Patient(int,List<Element>,List<Formula>)	org.ucdetector.analyzeMarkerReference	
lungsimulator.components.Element.Element(Element.java:8)	Constructor "Element.Element(Formula,String,int,int,int,int)" has 0 references	Element.Element(Formula,String,int,int,int,int)	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.InspireException.<init>(InspireException.java:3)	Change visibility of Class "InspireException" to default - May cause compile errors!	InspireException	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.utils.InspireException.InspireException(InspireException.java:4)	Change visibility of Constructor "InspireException.InspireException(String)" to default	InspireException.InspireException(String)	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.utils.Randomizer.<init>(Randomizer.java:5)	Class "Randomizer" has 0 references	Randomizer	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.lungModelCB(YamlReader.java:20)	Field "YamlReader.lungModelCB" has 0 references	YamlReader.lungModelCB	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.archetypeParametersCB(YamlReader.java:21)	Field "YamlReader.archetypeParametersCB" has 0 references	YamlReader.archetypeParametersCB	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.lungModelAlbanese(YamlReader.java:24)	Change visibility of Field "YamlReader.lungModelAlbanese" to private	YamlReader.lungModelAlbanese	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.utils.YamlReader.archetypeParametersAlbanese(YamlReader.java:25)	Change visibility of Field "YamlReader.archetypeParametersAlbanese" to private	YamlReader.archetypeParametersAlbanese	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.utils.YamlReader.lungModelBaker(YamlReader.java:28)	Field "YamlReader.lungModelBaker" has 0 references	YamlReader.lungModelBaker	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.archetypeParametersBaker(YamlReader.java:29)	Field "YamlReader.archetypeParametersBaker" has 0 references	YamlReader.archetypeParametersBaker	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.lungModelJain(YamlReader.java:32)	Field "YamlReader.lungModelJain" has 0 references	YamlReader.lungModelJain	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.archetypeParametersJain(YamlReader.java:33)	Field "YamlReader.archetypeParametersJain" has 0 references	YamlReader.archetypeParametersJain	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.lungModelAlNaggar(YamlReader.java:36)	Field "YamlReader.lungModelAlNaggar" has 0 references	YamlReader.lungModelAlNaggar	org.ucdetector.analyzeMarkerReference	
lungsimulator.utils.YamlReader.archetypeParametersAlNaggar(YamlReader.java:37)	Field "YamlReader.archetypeParametersAlNaggar" has 0 references	YamlReader.archetypeParametersAlNaggar	org.ucdetector.analyzeMarkerReference	
