Created with UCDetector 2.0.0	2022-10-05 17:37:04	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
lungsimulator.utils.YamlReader.archetypeParametersAlNaggar(YamlReader.java:37)	Field "YamlReader.archetypeParametersAlNaggar" has 0 references	YamlReader.archetypeParametersAlNaggar	org.ucdetector.analyzeMarkerReference	
lungsimulator.LungSimulator.<init>(LungSimulator.java:11)	Class "LungSimulator" has 0 references	LungSimulator	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.<init>(RealTimePlot.java:23)	Change visibility of Class "RealTimePlot" to default - May cause compile errors!	RealTimePlot	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.RealTimePlot.buildSimulator(RealTimePlot.java:73)	Method "RealTimePlot.buildSimulator(double,double,double,double)" has 0 references	RealTimePlot.buildSimulator(double,double,double,double)	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.buildCircuitSimulator(RealTimePlot.java:119)	Change visibility of Method "RealTimePlot.buildCircuitSimulator(Patient,Archetype)" to default	RealTimePlot.buildCircuitSimulator(Patient,Archetype)	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.RealTimePlot.updateCircuitSimulator(RealTimePlot.java:207)	Change visibility of Method "RealTimePlot.updateCircuitSimulator(Patient,Archetype)" to default	RealTimePlot.updateCircuitSimulator(Patient,Archetype)	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.RealTimePlot.setrPatValue(RealTimePlot.java:303)	Method "RealTimePlot.setrPatValue(double)" has 0 references	RealTimePlot.setrPatValue(double)	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.setcPatValue(RealTimePlot.java:307)	Method "RealTimePlot.setcPatValue(double)" has 0 references	RealTimePlot.setcPatValue(double)	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.setrDropValue(RealTimePlot.java:315)	Method "RealTimePlot.setrDropValue(double)" has 0 references	RealTimePlot.setrDropValue(double)	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.getcPat(RealTimePlot.java:319)	Change visibility of Method "RealTimePlot.getcPat()" to private	RealTimePlot.getcPat()	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.setcPat(RealTimePlot.java:323)	Change visibility of Method "RealTimePlot.setcPat(CapacitorElm)" to private	RealTimePlot.setcPat(CapacitorElm)	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.getrDrop(RealTimePlot.java:423)	Method "RealTimePlot.getrDrop()" has 0 references	RealTimePlot.getrDrop()	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.maxData(RealTimePlot.java:29)	Change visibility of Field "RealTimePlot.maxData" to private	RealTimePlot.maxData	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.rPatValue(RealTimePlot.java:32)	Change visibility of Field "RealTimePlot.rPatValue" to private	RealTimePlot.rPatValue	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.rPatValue(RealTimePlot.java:32)	Field "RealTimePlot.rPatValue" is never read	RealTimePlot.rPatValue	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.resistanceChangeEnabled(RealTimePlot.java:33)	Change visibility of Field "RealTimePlot.resistanceChangeEnabled" to private	RealTimePlot.resistanceChangeEnabled	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.resistanceChangeEnabled(RealTimePlot.java:33)	Field "RealTimePlot.resistanceChangeEnabled" is never read	RealTimePlot.resistanceChangeEnabled	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.probabilityChangeResistance(RealTimePlot.java:34)	Change visibility of Field "RealTimePlot.probabilityChangeResistance" to private	RealTimePlot.probabilityChangeResistance	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.probabilityChangeResistance(RealTimePlot.java:34)	Field "RealTimePlot.probabilityChangeResistance" is never read	RealTimePlot.probabilityChangeResistance	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.maxVariabilityResistance(RealTimePlot.java:35)	Change visibility of Field "RealTimePlot.maxVariabilityResistance" to private	RealTimePlot.maxVariabilityResistance	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.maxVariabilityResistance(RealTimePlot.java:35)	Field "RealTimePlot.maxVariabilityResistance" is never read	RealTimePlot.maxVariabilityResistance	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.cPatValue(RealTimePlot.java:36)	Change visibility of Field "RealTimePlot.cPatValue" to private	RealTimePlot.cPatValue	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.cPatValue(RealTimePlot.java:36)	Field "RealTimePlot.cPatValue" is never read	RealTimePlot.cPatValue	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.complianceChangeEnabled(RealTimePlot.java:37)	Change visibility of Field "RealTimePlot.complianceChangeEnabled" to private	RealTimePlot.complianceChangeEnabled	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.complianceChangeEnabled(RealTimePlot.java:37)	Field "RealTimePlot.complianceChangeEnabled" is never read	RealTimePlot.complianceChangeEnabled	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.probabilityChangeCompliance(RealTimePlot.java:38)	Change visibility of Field "RealTimePlot.probabilityChangeCompliance" to private	RealTimePlot.probabilityChangeCompliance	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.probabilityChangeCompliance(RealTimePlot.java:38)	Field "RealTimePlot.probabilityChangeCompliance" is never read	RealTimePlot.probabilityChangeCompliance	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.maxVariabilityCompliance(RealTimePlot.java:39)	Change visibility of Field "RealTimePlot.maxVariabilityCompliance" to private	RealTimePlot.maxVariabilityCompliance	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.maxVariabilityCompliance(RealTimePlot.java:39)	Field "RealTimePlot.maxVariabilityCompliance" is never read	RealTimePlot.maxVariabilityCompliance	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.swDropValue(RealTimePlot.java:40)	Change visibility of Field "RealTimePlot.swDropValue" to private	RealTimePlot.swDropValue	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.swDropValue(RealTimePlot.java:40)	Field "RealTimePlot.swDropValue" is never read	RealTimePlot.swDropValue	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.dropResistanceChangeEnabled(RealTimePlot.java:41)	Change visibility of Field "RealTimePlot.dropResistanceChangeEnabled" to private	RealTimePlot.dropResistanceChangeEnabled	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.dropResistanceChangeEnabled(RealTimePlot.java:41)	Field "RealTimePlot.dropResistanceChangeEnabled" is never read	RealTimePlot.dropResistanceChangeEnabled	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.dropResistanceChangeProbability(RealTimePlot.java:42)	Change visibility of Field "RealTimePlot.dropResistanceChangeProbability" to private	RealTimePlot.dropResistanceChangeProbability	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.dropResistanceChangeProbability(RealTimePlot.java:42)	Field "RealTimePlot.dropResistanceChangeProbability" is never read	RealTimePlot.dropResistanceChangeProbability	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.maxDropResistanceChange(RealTimePlot.java:43)	Change visibility of Field "RealTimePlot.maxDropResistanceChange" to private	RealTimePlot.maxDropResistanceChange	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.maxDropResistanceChange(RealTimePlot.java:43)	Field "RealTimePlot.maxDropResistanceChange" is never read	RealTimePlot.maxDropResistanceChange	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.rDropValue(RealTimePlot.java:44)	Change visibility of Field "RealTimePlot.rDropValue" to private	RealTimePlot.rDropValue	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.rDropValue(RealTimePlot.java:44)	Field "RealTimePlot.rDropValue" is never read	RealTimePlot.rDropValue	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.pressureDropAfterSec(RealTimePlot.java:45)	Change visibility of Field "RealTimePlot.pressureDropAfterSec" to private	RealTimePlot.pressureDropAfterSec	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.pressureDropEnabledWithProbability(RealTimePlot.java:47)	Change visibility of Field "RealTimePlot.pressureDropEnabledWithProbability" to private	RealTimePlot.pressureDropEnabledWithProbability	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.pressureDropEnabledWithProbability(RealTimePlot.java:47)	Field "RealTimePlot.pressureDropEnabledWithProbability" is never read	RealTimePlot.pressureDropEnabledWithProbability	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.pressureDropMissProbability(RealTimePlot.java:48)	Change visibility of Field "RealTimePlot.pressureDropMissProbability" to private	RealTimePlot.pressureDropMissProbability	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.pressureDropMissProbability(RealTimePlot.java:48)	Field "RealTimePlot.pressureDropMissProbability" is never read	RealTimePlot.pressureDropMissProbability	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.coughEnabled(RealTimePlot.java:49)	Change visibility of Field "RealTimePlot.coughEnabled" to private	RealTimePlot.coughEnabled	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.coughEnabled(RealTimePlot.java:49)	Field "RealTimePlot.coughEnabled" is never read	RealTimePlot.coughEnabled	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.coughProbability(RealTimePlot.java:50)	Change visibility of Field "RealTimePlot.coughProbability" to private	RealTimePlot.coughProbability	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.RealTimePlot.coughProbability(RealTimePlot.java:50)	Field "RealTimePlot.coughProbability" is never read	RealTimePlot.coughProbability	org.ucdetector.analyzeMarkerReference	
lungsimulator.RealTimePlot.sp(RealTimePlot.java:59)	Change visibility of Field "RealTimePlot.sp" to private	RealTimePlot.sp	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.GraphicInterface.<init>(GraphicInterface.java:27)	Change visibility of Class "GraphicInterface" to default - May cause compile errors!	GraphicInterface	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.GraphicInterface.frameConfig(GraphicInterface.java:54)	Change visibility of Method "GraphicInterface.frameConfig(Patient,Archetype)" to default	GraphicInterface.frameConfig(Patient,Archetype)	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.GraphicInterface.updateShownDataValues(GraphicInterface.java:150)	Change visibility of Method "GraphicInterface.updateShownDataValues(double,CirSim)" to default	GraphicInterface.updateShownDataValues(double,CirSim)	org.ucdetector.analyzeMarkerVisibilityDefault	
lungsimulator.GraphicInterface.showVentilator(GraphicInterface.java:31)	Change visibility of Field "GraphicInterface.showVentilator" to private	GraphicInterface.showVentilator	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.GraphicInterface.maxData(GraphicInterface.java:32)	Change visibility of Field "GraphicInterface.maxData" to private	GraphicInterface.maxData	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.GraphicInterface.columnNames(GraphicInterface.java:34)	Change visibility of Field "GraphicInterface.columnNames" to private	GraphicInterface.columnNames	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.GraphicInterface.data(GraphicInterface.java:35)	Change visibility of Field "GraphicInterface.data" to private	GraphicInterface.data	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.GraphicInterface.initdataPressure(GraphicInterface.java:36)	Change visibility of Field "GraphicInterface.initdataPressure" to private	GraphicInterface.initdataPressure	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.GraphicInterface.initdataVentilatorPressure(GraphicInterface.java:37)	Change visibility of Field "GraphicInterface.initdataVentilatorPressure" to private	GraphicInterface.initdataVentilatorPressure	org.ucdetector.analyzeMarkerVisibilityPrivate	
lungsimulator.GraphicInterface.initdataFlow(GraphicInterface.java:38)	Change visibility of Field "GraphicInterface.initdataFlow" to private	GraphicInterface.initdataFlow	org.ucdetector.analyzeMarkerVisibilityPrivate	
