Created with UCDetector 2.0.0	2022-10-14 17:06:56	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
simulator.CirSim.MODE_DRAG_ALL(CirSim.java:126)	Constant "CirSim.MODE_DRAG_ALL" has 0 references	CirSim.MODE_DRAG_ALL	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_DRAG_SELECTED(CirSim.java:129)	Constant "CirSim.MODE_DRAG_SELECTED" has 0 references	CirSim.MODE_DRAG_SELECTED	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_DRAG_POST(CirSim.java:130)	Constant "CirSim.MODE_DRAG_POST" has 0 references	CirSim.MODE_DRAG_POST	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.MODE_SELECT(CirSim.java:131)	Change visibility of Constant "CirSim.MODE_SELECT" to private	CirSim.MODE_SELECT	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.infoWidth(CirSim.java:132)	Change visibility of Constant "CirSim.infoWidth" to private	CirSim.infoWidth	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.dragX(CirSim.java:133)	Change visibility of Field "CirSim.dragX" to private	CirSim.dragX	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.dragY(CirSim.java:133)	Change visibility of Field "CirSim.dragY" to private	CirSim.dragY	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.initDragX(CirSim.java:133)	Change visibility of Field "CirSim.initDragX" to private	CirSim.initDragX	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.initDragY(CirSim.java:133)	Change visibility of Field "CirSim.initDragY" to private	CirSim.initDragY	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.selectedSource(CirSim.java:134)	Field "CirSim.selectedSource" has 0 references	CirSim.selectedSource	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.selectedArea(CirSim.java:135)	Change visibility of Field "CirSim.selectedArea" to private	CirSim.selectedArea	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.gridMask(CirSim.java:138)	Change visibility of Field "CirSim.gridMask" to private	CirSim.gridMask	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.gridRound(CirSim.java:140)	Change visibility of Field "CirSim.gridRound" to private	CirSim.gridRound	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.dragging(CirSim.java:141)	Field "CirSim.dragging" has 0 references	CirSim.dragging	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.dumpMatrix(CirSim.java:143)	Change visibility of Field "CirSim.dumpMatrix" to private	CirSim.dumpMatrix	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.isMac(CirSim.java:145)	Field "CirSim.isMac" has 0 references	CirSim.isMac	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.ctrlMetaKey(CirSim.java:146)	Field "CirSim.ctrlMetaKey" has 0 references	CirSim.ctrlMetaKey	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.pause(CirSim.java:148)	Field "CirSim.pause" has 0 references	CirSim.pause	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.menuScope(CirSim.java:150)	Change visibility of Field "CirSim.menuScope" to private	CirSim.menuScope	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.menuScope(CirSim.java:150)	Field "CirSim.menuScope" is never read	CirSim.menuScope	org.ucdetector.analyzeMarkerReference	
simulator.CirSim.hintType(CirSim.java:151)	Change visibility of Field "CirSim.hintType" to private	CirSim.hintType	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.hintItem1(CirSim.java:151)	Change visibility of Field "CirSim.hintItem1" to private	CirSim.hintItem1	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.hintItem2(CirSim.java:151)	Change visibility of Field "CirSim.hintItem2" to private	CirSim.hintItem2	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.stopMessage(CirSim.java:152)	Change visibility of Field "CirSim.stopMessage" to private	CirSim.stopMessage	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.HINT_LC(CirSim.java:154)	Change visibility of Constant "CirSim.HINT_LC" to private	CirSim.HINT_LC	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.HINT_RC(CirSim.java:155)	Change visibility of Constant "CirSim.HINT_RC" to private	CirSim.HINT_RC	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.HINT_3DB_C(CirSim.java:156)	Change visibility of Constant "CirSim.HINT_3DB_C" to private	CirSim.HINT_3DB_C	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.HINT_TWINT(CirSim.java:157)	Change visibility of Constant "CirSim.HINT_TWINT" to private	CirSim.HINT_TWINT	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.HINT_3DB_L(CirSim.java:158)	Change visibility of Constant "CirSim.HINT_3DB_L" to private	CirSim.HINT_3DB_L	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.menuElm(CirSim.java:166)	Change visibility of Field "CirSim.menuElm" to private	CirSim.menuElm	org.ucdetector.analyzeMarkerVisibilityPrivate	
simulator.CirSim.stopElm(CirSim.java:170)	Change visibility of Field "CirSim.stopElm" to private	CirSim.stopElm	org.ucdetector.analyzeMarkerVisibilityPrivate	
